step,loss_value_function,loss_FOC_g,loss_FOC_a,loss_FOC_d,loss_FOC_S_g,loss_FOC_S_a,elapsed_time
0,1.08079e+00,1.92756e+06,1.93634e+06,1.92756e+06,1.82080e-01,4.20154e-01,40
1000,3.96166e-02,4.74818e+00,6.73608e+00,4.74818e+00,1.87638e-01,9.86401e-01,56
2000,3.96241e-02,4.78233e+00,6.62945e+00,4.78233e+00,8.59261e-02,9.86404e-01,61
3000,3.96524e-02,4.43513e+00,7.07157e+00,4.43513e+00,8.62466e-03,9.86409e-01,66
4000,3.95702e-02,4.92355e+00,7.22897e+00,4.92355e+00,1.05364e-02,9.86039e-01,71
5000,3.95675e-02,5.07678e+00,7.79455e+00,5.07678e+00,8.71330e-03,9.86417e-01,76
6000,3.95945e-02,4.94839e+00,7.63375e+00,4.94839e+00,1.58459e-02,9.86694e-01,81
7000,3.96513e-02,4.68799e+00,5.94166e+00,4.68799e+00,7.87182e-03,9.86434e-01,86
8000,3.95949e-02,4.68641e+00,7.88252e+00,4.68641e+00,9.24181e-03,9.86555e-01,91
9000,3.96626e-02,4.41655e+00,6.20470e+00,4.41655e+00,2.90294e-02,9.85492e-01,96
10000,3.96952e-02,4.46814e+00,5.88953e+00,4.46814e+00,1.63360e-02,9.86537e-01,101
11000,3.95736e-02,4.95892e+00,7.53994e+00,4.95892e+00,1.83768e-02,9.86428e-01,106
12000,3.95936e-02,4.56634e+00,7.14087e+00,4.56634e+00,1.24044e-02,9.85223e-01,111
13000,3.95813e-02,5.09095e+00,7.17449e+00,5.09095e+00,1.24482e-02,9.86411e-01,116
14000,3.95630e-02,5.03687e+00,6.95498e+00,5.03687e+00,1.82094e-02,9.85690e-01,122
15000,3.96189e-02,4.79592e+00,6.86095e+00,4.79592e+00,1.34164e-03,9.86413e-01,127
16000,3.95896e-02,4.93643e+00,7.33315e+00,4.93643e+00,1.06749e-03,9.86410e-01,132
17000,3.96213e-02,4.78717e+00,6.72328e+00,4.78717e+00,7.05824e-04,9.86416e-01,137
18000,3.96418e-02,4.71110e+00,7.15192e+00,4.71110e+00,8.54137e-04,9.86417e-01,142
19000,3.96183e-02,4.79408e+00,6.72426e+00,4.79408e+00,1.74395e-03,9.86377e-01,147
20000,3.95806e-02,4.90169e+00,6.97186e+00,4.90169e+00,4.06294e-03,9.86263e-01,152
21000,3.96446e-02,4.69486e+00,6.29862e+00,4.69486e+00,2.48786e-03,9.86459e-01,157
22000,4.09944e-02,6.41393e+00,9.63706e+00,6.41393e+00,1.24713e+00,9.95210e-01,162
23000,3.96084e-02,4.73159e+00,7.22708e+00,4.73159e+00,1.60378e-02,9.86413e-01,167
24000,3.96059e-02,4.82680e+00,7.33758e+00,4.82680e+00,1.12924e-02,9.86415e-01,172
25000,3.96188e-02,4.69151e+00,7.94726e+00,4.69151e+00,8.46320e-03,9.86413e-01,177
26000,3.96152e-02,5.05144e+00,6.36674e+00,5.05144e+00,1.05024e-02,9.86410e-01,183
27000,3.96104e-02,5.06013e+00,6.84518e+00,5.06013e+00,7.22554e-03,9.86412e-01,188
28000,3.96127e-02,4.89174e+00,7.09573e+00,4.89174e+00,4.20068e-03,9.86411e-01,193
29000,3.96183e-02,4.61805e+00,6.62365e+00,4.61805e+00,2.56102e-03,9.86412e-01,198
30000,3.96166e-02,4.82777e+00,6.85597e+00,4.82777e+00,2.53380e-03,9.86412e-01,203
31000,3.96265e-02,4.87720e+00,6.96686e+00,4.87720e+00,2.25129e-03,9.86410e-01,208
32000,3.96196e-02,4.80692e+00,7.98117e+00,4.80692e+00,1.60816e-03,9.86413e-01,213
33000,3.95697e-02,5.30320e+00,6.96218e+00,5.30320e+00,2.30908e-03,9.86374e-01,218
34000,3.95717e-02,4.91913e+00,7.45902e+00,4.91913e+00,1.49251e-03,9.86394e-01,223
35000,3.96003e-02,5.16810e+00,6.81253e+00,5.16810e+00,1.30961e-03,9.86423e-01,228
36000,3.96281e-02,4.81726e+00,6.88927e+00,4.81726e+00,3.38885e-03,9.86406e-01,233
37000,3.96195e-02,4.80916e+00,6.89307e+00,4.80916e+00,2.88945e-03,9.86410e-01,238
38000,3.96355e-02,4.74929e+00,6.28178e+00,4.74929e+00,2.41033e-03,9.86392e-01,243
39000,3.95956e-02,5.06855e+00,7.47580e+00,5.06855e+00,1.08214e-03,9.86337e-01,248
40000,3.96243e-02,4.75557e+00,6.93563e+00,4.75557e+00,2.81271e-03,9.86419e-01,253
41000,3.95550e-02,5.21878e+00,7.07333e+00,5.21878e+00,1.68974e-03,9.86452e-01,259
42000,3.96568e-02,4.68645e+00,6.69550e+00,4.68645e+00,2.05243e-03,9.86382e-01,264
43000,3.95969e-02,4.79594e+00,6.97928e+00,4.79594e+00,5.53654e-04,9.86412e-01,269
44000,3.96058e-02,4.93510e+00,6.89458e+00,4.93510e+00,8.62468e-04,9.86412e-01,274
45000,3.96033e-02,4.90225e+00,6.22021e+00,4.90225e+00,6.08885e-04,9.86412e-01,279
46000,3.95808e-02,5.10742e+00,7.18870e+00,5.10742e+00,8.52121e-04,9.86410e-01,284
47000,3.96199e-02,4.89732e+00,6.27894e+00,4.89732e+00,7.86663e-04,9.86416e-01,289
48000,3.96109e-02,5.05237e+00,7.31274e+00,5.05237e+00,7.50158e-04,9.86408e-01,294
49000,3.96491e-02,4.76382e+00,6.47286e+00,4.76382e+00,8.03073e-04,9.86411e-01,299
50000,3.96076e-02,4.83951e+00,7.21110e+00,4.83951e+00,9.25529e-04,9.86413e-01,304
51000,3.95991e-02,4.97501e+00,6.44156e+00,4.97501e+00,7.34073e-04,9.86409e-01,309
52000,3.96178e-02,4.70803e+00,6.51136e+00,4.70803e+00,7.49669e-04,9.86412e-01,314
53000,3.96081e-02,4.75025e+00,6.57868e+00,4.75025e+00,7.68052e-04,9.86410e-01,319
54000,3.96443e-02,4.55804e+00,7.75589e+00,4.55804e+00,6.04908e-04,9.86414e-01,324
55000,3.96079e-02,4.87604e+00,6.74470e+00,4.87604e+00,8.69145e-04,9.86412e-01,329
56000,3.95546e-02,5.18996e+00,7.13490e+00,5.18996e+00,7.14730e-04,9.86411e-01,334
57000,3.95963e-02,4.88043e+00,6.97277e+00,4.88043e+00,4.10928e-04,9.86412e-01,339
58000,3.96311e-02,4.73035e+00,7.05686e+00,4.73035e+00,2.92887e-04,9.86412e-01,344
59000,3.96012e-02,4.78033e+00,7.14123e+00,4.78033e+00,5.46958e-04,9.86413e-01,349
60000,3.96117e-02,4.73512e+00,6.90954e+00,4.73512e+00,6.55271e-04,9.86413e-01,354
61000,3.95957e-02,5.00469e+00,7.29545e+00,5.00469e+00,7.74702e-04,9.86415e-01,359
62000,3.96318e-02,4.60252e+00,6.67852e+00,4.60252e+00,4.00711e-04,9.86410e-01,364
63000,3.96264e-02,4.89119e+00,6.64777e+00,4.89119e+00,6.25174e-04,9.86413e-01,369
64000,3.96094e-02,4.63379e+00,7.73515e+00,4.63379e+00,4.94342e-04,9.86411e-01,374
65000,3.96313e-02,4.72792e+00,7.03298e+00,4.72792e+00,5.52715e-04,9.86412e-01,380
66000,3.95985e-02,4.91641e+00,7.74494e+00,4.91641e+00,3.98417e-04,9.86412e-01,385
67000,3.96387e-02,4.57608e+00,6.99930e+00,4.57608e+00,5.03958e-04,9.86414e-01,390
68000,3.95874e-02,4.94072e+00,6.40255e+00,4.94072e+00,6.28033e-04,9.86414e-01,395
69000,3.95900e-02,4.93139e+00,6.78470e+00,4.93139e+00,3.98401e-04,9.86411e-01,400
70000,3.95978e-02,5.02648e+00,7.40886e+00,5.02648e+00,7.54594e-04,9.86416e-01,405
71000,3.96040e-02,4.92101e+00,6.56025e+00,4.92101e+00,5.06159e-04,9.86415e-01,410
72000,3.96149e-02,4.97971e+00,7.27751e+00,4.97971e+00,2.31721e-04,9.86412e-01,415
73000,3.96089e-02,4.88228e+00,7.30501e+00,4.88228e+00,2.18879e-04,9.86412e-01,420
74000,3.95893e-02,5.04566e+00,7.64643e+00,5.04566e+00,2.23291e-04,9.86412e-01,425
75000,3.96144e-02,4.70168e+00,7.15590e+00,4.70168e+00,3.55735e-04,9.86413e-01,430
76000,3.96293e-02,4.77736e+00,7.14571e+00,4.77736e+00,2.63907e-04,9.86412e-01,435
77000,3.96095e-02,4.88238e+00,6.81825e+00,4.88238e+00,2.15672e-04,9.86412e-01,440
78000,3.96071e-02,4.91803e+00,7.15372e+00,4.91803e+00,1.87583e-04,9.86412e-01,445
79000,3.95803e-02,5.06743e+00,7.10908e+00,5.06743e+00,1.83536e-04,9.86412e-01,450
80000,3.96068e-02,4.87362e+00,6.99430e+00,4.87362e+00,1.90940e-04,9.86412e-01,455
81000,3.95747e-02,5.14164e+00,7.14272e+00,5.14164e+00,3.24486e-04,9.86412e-01,460
82000,3.95842e-02,4.88057e+00,6.70304e+00,4.88057e+00,1.90066e-04,9.86412e-01,465
83000,3.96033e-02,4.87483e+00,7.62697e+00,4.87483e+00,2.70729e-04,9.86412e-01,470
84000,3.96008e-02,4.74515e+00,6.93383e+00,4.74515e+00,1.61832e-04,9.86413e-01,475
85000,3.95983e-02,4.90327e+00,7.07469e+00,4.90327e+00,2.55719e-04,9.86412e-01,480
86000,3.96197e-02,4.84354e+00,7.13276e+00,4.84354e+00,1.86268e-04,9.86412e-01,485
87000,3.95882e-02,4.93083e+00,7.68872e+00,4.93083e+00,1.47325e-04,9.86412e-01,490
88000,3.96025e-02,4.96622e+00,7.30788e+00,4.96622e+00,1.57473e-04,9.86412e-01,495
89000,3.95974e-02,5.05878e+00,7.08042e+00,5.05878e+00,1.48086e-04,9.86412e-01,500
90000,3.96287e-02,4.76442e+00,6.82183e+00,4.76442e+00,1.86185e-04,9.86412e-01,505
91000,3.95856e-02,5.02597e+00,6.61826e+00,5.02597e+00,1.53809e-04,9.86412e-01,510
92000,3.95691e-02,5.24831e+00,6.43515e+00,5.24831e+00,1.90496e-04,9.86412e-01,515
93000,3.95647e-02,4.92445e+00,6.69138e+00,4.92445e+00,1.81434e-04,9.86412e-01,520
94000,3.96005e-02,4.93994e+00,7.90194e+00,4.93994e+00,2.03742e-04,9.86412e-01,525
95000,3.96149e-02,4.77917e+00,7.50636e+00,4.77917e+00,1.58433e-04,9.86412e-01,530
96000,3.96247e-02,4.69479e+00,6.54929e+00,4.69479e+00,1.62836e-04,9.86412e-01,535
97000,3.96153e-02,4.85079e+00,7.91396e+00,4.85079e+00,1.91335e-04,9.86413e-01,540
98000,3.96056e-02,4.88757e+00,6.72754e+00,4.88757e+00,1.87398e-04,9.86412e-01,545
99000,3.96590e-02,4.71786e+00,6.66856e+00,4.71786e+00,1.72908e-04,9.86413e-01,550
