step,loss_value_function,loss_FOC_g,loss_FOC_a,loss_FOC_d,loss_FOC_S_g,loss_FOC_S_a,elapsed_time
59000,4.46897e-01,2.00798e-01,2.26123e-01,7.15953e-03,7.98194e-03,7.86304e-02,357
60000,4.43381e-01,1.90075e-01,2.33373e-01,7.41099e-03,6.92018e-03,7.60118e-02,362
61000,4.49976e-01,2.05138e-01,2.40203e-01,1.19658e-02,8.09019e-03,8.11648e-02,367
62000,4.41379e-01,1.75276e-01,2.13502e-01,8.28738e-03,6.75176e-03,7.28438e-02,372
63000,4.41723e-01,1.94293e-01,2.27932e-01,8.31778e-03,6.89485e-03,7.49008e-02,377
64000,4.51314e-01,1.99439e-01,2.32375e-01,7.33297e-03,9.18004e-03,8.22286e-02,383
65000,4.46896e-01,2.01688e-01,2.24619e-01,7.16419e-03,8.11001e-03,7.99088e-02,388
66000,4.53279e-01,2.09752e-01,2.53254e-01,7.41102e-03,1.01215e-02,9.05822e-02,393
67000,4.45522e-01,1.82554e-01,2.49358e-01,7.32240e-03,8.40588e-03,7.84262e-02,398
68000,4.41308e-01,1.74209e-01,2.14577e-01,6.48580e-03,6.65685e-03,7.49263e-02,403
69000,4.46357e-01,2.05328e-01,2.14425e-01,7.63181e-03,7.53674e-03,7.41974e-02,408
70000,4.52783e-01,1.97680e-01,2.57184e-01,8.44549e-03,9.11431e-03,8.55850e-02,414
71000,4.42281e-01,2.05620e-01,2.17348e-01,7.06601e-03,7.06299e-03,7.30325e-02,419
72000,4.50649e-01,2.03536e-01,2.57316e-01,9.14020e-03,9.16240e-03,8.48608e-02,424
73000,4.47532e-01,1.91724e-01,2.06196e-01,9.57051e-03,7.69385e-03,7.65785e-02,429
74000,4.52119e-01,2.06140e-01,2.50113e-01,1.15895e-02,9.01684e-03,8.85064e-02,434
75000,4.48894e-01,1.90947e-01,2.54765e-01,8.26298e-03,9.06833e-03,8.52438e-02,439
76000,4.47048e-01,1.97252e-01,2.34279e-01,7.14296e-03,8.15339e-03,7.96599e-02,445
77000,4.44256e-01,2.14581e-01,2.39142e-01,7.55342e-03,6.90988e-03,7.61798e-02,450
78000,4.47938e-01,2.03132e-01,2.15309e-01,7.90736e-03,8.40146e-03,7.89078e-02,455
79000,4.48654e-01,2.11991e-01,2.58710e-01,8.07379e-03,8.59695e-03,8.29500e-02,460
80000,4.45658e-01,1.99361e-01,2.14350e-01,6.89712e-03,7.22612e-03,7.26098e-02,465
81000,4.48183e-01,2.08675e-01,2.21349e-01,1.02865e-02,7.64214e-03,7.74797e-02,470
82000,4.44204e-01,1.89404e-01,2.53312e-01,7.17566e-03,7.96976e-03,7.72131e-02,476
83000,4.51093e-01,2.00146e-01,2.38669e-01,1.03443e-02,8.89920e-03,8.60036e-02,481
84000,4.44957e-01,2.01575e-01,2.30894e-01,7.92069e-03,7.38497e-03,7.47932e-02,486
85000,4.47580e-01,1.96601e-01,2.28230e-01,1.59124e-02,7.72192e-03,7.56971e-02,491
86000,4.47564e-01,1.86634e-01,2.31685e-01,7.14148e-03,8.13566e-03,7.69132e-02,496
87000,4.53473e-01,2.04763e-01,2.51925e-01,6.37083e-03,9.34424e-03,8.41221e-02,502
88000,4.48116e-01,1.89323e-01,2.34373e-01,8.54794e-03,8.50975e-03,8.20137e-02,507
89000,4.47147e-01,2.12536e-01,2.16914e-01,5.97529e-03,7.45121e-03,7.41038e-02,512
90000,4.43112e-01,2.10698e-01,2.37279e-01,6.74173e-03,7.28666e-03,7.66853e-02,517
91000,4.43310e-01,2.02410e-01,2.36054e-01,6.46366e-03,7.29140e-03,7.61720e-02,522
92000,4.42456e-01,2.04483e-01,2.05797e-01,7.25438e-03,5.74372e-03,6.97644e-02,528
93000,4.44387e-01,1.96341e-01,2.12569e-01,5.92185e-03,6.63239e-03,7.11180e-02,533
94000,4.54951e-01,2.19497e-01,2.41122e-01,5.91261e-03,9.77653e-03,8.57502e-02,538
95000,4.50221e-01,2.13416e-01,2.27598e-01,6.10256e-03,8.28261e-03,8.23987e-02,543
96000,4.41432e-01,1.92792e-01,2.16757e-01,6.33034e-03,5.90151e-03,6.84177e-02,549
97000,4.54062e-01,2.05442e-01,2.61745e-01,6.21002e-03,8.90783e-03,8.42023e-02,554
98000,4.43765e-01,1.92742e-01,2.23166e-01,7.33025e-03,6.89715e-03,7.42028e-02,559
99000,4.43135e-01,1.92222e-01,2.40369e-01,6.36361e-03,7.81227e-03,7.70651e-02,565
