step,loss_value_function,loss_FOC_g,loss_FOC_a,loss_FOC_d,loss_FOC_S_g,loss_FOC_S_a,elapsed_time
0,1.10093e+00,1.92756e+06,1.93634e+06,1.92756e+06,1.82080e-01,4.20154e-01,40
1000,1.78658e-02,3.63585e-03,5.07477e-03,4.90780e-03,1.04605e-01,8.97256e-02,56
2000,2.18937e-02,7.35008e-03,5.14512e-03,5.78001e-03,8.34683e-02,1.14830e-01,61
3000,1.85158e-02,2.46124e-03,2.95517e-03,4.93912e-03,7.72483e-02,5.34185e-02,67
4000,1.72592e-02,3.87880e-03,2.09121e-03,3.14454e-03,5.38276e-02,5.97019e-02,72
5000,1.89514e-02,1.58888e-03,2.38628e-03,2.25023e-03,8.68094e-02,5.31709e-02,77
6000,1.79451e+01,1.92647e+06,1.46079e+06,1.92647e+06,6.88700e-03,2.15012e+01,82
7000,1.80672e+01,1.92618e+06,1.48893e+06,1.92618e+06,5.01392e-03,1.41398e+01,87
8000,1.80328e+01,1.93410e+06,1.11584e+06,1.93410e+06,5.33820e-03,2.19099e+01,92
9000,1.81570e+01,1.92484e+06,1.63432e+06,1.92484e+06,3.56042e-03,1.52823e+01,97
10000,1.81820e+01,1.92608e+06,1.63131e+06,1.92608e+06,2.36547e-03,9.84941e+00,103
11000,1.81048e+01,1.92588e+06,1.27654e+06,1.92588e+06,2.95927e-03,2.12950e+01,108
12000,1.80653e+01,1.92654e+06,1.32007e+06,1.92654e+06,2.28675e-03,2.05616e+01,113
13000,1.58081e+01,1.93360e+06,1.31063e+06,1.93360e+06,1.39811e-03,1.97532e+01,118
14000,1.33690e+01,1.92632e+06,1.51429e+06,1.92632e+06,8.54007e-04,1.97081e+01,123
15000,1.44064e+01,1.92518e+06,1.35425e+06,1.92518e+06,7.35310e-04,1.64422e+01,128
16000,1.48755e+01,1.92747e+06,1.39112e+06,1.92747e+06,7.63294e-04,1.85595e+01,133
17000,1.53893e+01,1.92476e+06,1.52413e+06,1.92476e+06,6.52901e-04,1.39330e+01,138
18000,1.50303e+01,1.92910e+06,1.45122e+06,1.92910e+06,6.80214e-04,1.87876e+01,143
19000,1.47348e+01,1.92767e+06,1.32029e+06,1.92767e+06,2.47753e-03,1.53804e+01,148
20000,1.47689e+01,1.92564e+06,1.32940e+06,1.92564e+06,3.48799e-04,1.76984e+01,153
21000,1.50655e+01,1.92838e+06,1.59278e+06,1.92838e+06,4.01526e-04,1.33287e+01,158
22000,1.48357e+01,1.92567e+06,1.55168e+06,1.92567e+06,6.20732e-04,1.36352e+01,163
23000,1.52191e+01,1.92630e+06,1.29485e+06,1.92630e+06,8.32176e-04,2.09977e+01,168
24000,1.56651e+01,1.93383e+06,1.39482e+06,1.93383e+06,2.83267e-04,1.93442e+01,174
25000,1.60269e+01,1.92698e+06,1.29471e+06,1.92698e+06,3.37454e-04,2.28399e+01,179
26000,1.59528e+01,1.92774e+06,1.38676e+06,1.92774e+06,6.06149e-04,1.61136e+01,184
27000,1.60449e+01,1.93040e+06,1.43941e+06,1.93040e+06,8.31387e-04,1.75467e+01,189
28000,1.41955e+01,1.92661e+06,1.44948e+06,1.92661e+06,6.21363e-04,1.70595e+01,194
29000,1.83854e+01,1.92998e+06,1.39739e+06,1.92998e+06,2.02628e-04,1.67720e+01,199
30000,1.92870e+01,1.92744e+06,1.34991e+06,1.92744e+06,1.42307e-04,1.58993e+01,204
31000,1.96072e+01,1.93459e+06,1.41066e+06,1.93459e+06,2.32324e-04,1.89232e+01,209
32000,1.90703e+01,1.92525e+06,1.25724e+06,1.92525e+06,2.15002e-04,2.16392e+01,214
33000,1.87895e+01,1.92694e+06,1.29803e+06,1.92694e+06,2.05983e-04,1.84374e+01,219
34000,1.88990e+01,1.92674e+06,1.32805e+06,1.92674e+06,2.92845e-04,2.13722e+01,224
35000,1.90595e+01,1.92833e+06,1.37147e+06,1.92833e+06,1.70946e-04,1.65326e+01,229
36000,1.90969e+01,1.92857e+06,1.55934e+06,1.92857e+06,1.27633e-04,1.71664e+01,234
37000,1.88167e+01,1.92508e+06,1.47103e+06,1.92508e+06,1.85413e-04,1.74263e+01,239
38000,1.88443e+01,1.92728e+06,1.49345e+06,1.92728e+06,1.26217e-04,1.36385e+01,244
39000,1.93604e+01,1.92758e+06,1.19405e+06,1.92758e+06,1.21859e-04,2.19834e+01,250
40000,1.94156e+01,1.92627e+06,1.29285e+06,1.92627e+06,1.69179e-04,1.68162e+01,255
41000,1.93872e+01,1.92654e+06,1.29519e+06,1.92654e+06,1.28230e-04,1.99420e+01,260
42000,1.89279e+01,1.92265e+06,1.35721e+06,1.92265e+06,6.02295e-05,1.47894e+01,265
43000,1.87450e+01,1.92113e+06,1.30417e+06,1.92113e+06,6.36175e-05,1.79255e+01,270
44000,1.94905e+01,1.92387e+06,1.49481e+06,1.92387e+06,5.94816e-05,1.67335e+01,275
45000,1.99754e+01,1.92999e+06,1.51421e+06,1.92999e+06,4.92732e-05,1.41400e+01,280
46000,2.02771e+01,1.92928e+06,1.37321e+06,1.92928e+06,6.38669e-05,1.97954e+01,285
47000,2.05138e+01,1.92929e+06,1.51890e+06,1.92929e+06,5.23101e-05,1.40282e+01,290
48000,2.06380e+01,1.92595e+06,1.28457e+06,1.92595e+06,6.62487e-05,2.00651e+01,295
49000,2.07752e+01,1.92728e+06,1.30101e+06,1.92728e+06,5.36242e-05,1.49353e+01,300
50000,2.08436e+01,1.92169e+06,1.17462e+06,1.92169e+06,5.00783e-05,1.59755e+01,306
51000,2.09609e+01,1.93296e+06,1.44904e+06,1.93296e+06,5.54638e-05,1.44627e+01,311
52000,2.10306e+01,1.92572e+06,1.46959e+06,1.92572e+06,6.07907e-05,1.40430e+01,316
53000,2.10943e+01,1.92362e+06,1.34408e+06,1.92362e+06,6.43700e-05,1.73694e+01,321
54000,2.11338e+01,1.92705e+06,1.32303e+06,1.92705e+06,5.74941e-05,2.14775e+01,326
55000,2.12055e+01,1.92124e+06,1.32197e+06,1.92124e+06,5.10185e-05,1.77372e+01,331
56000,2.12209e+01,1.92649e+06,1.26068e+06,1.92649e+06,5.47388e-05,1.89023e+01,336
57000,2.12729e+01,1.93218e+06,1.50535e+06,1.93218e+06,5.39299e-05,1.75630e+01,341
58000,2.13291e+01,1.93161e+06,1.40156e+06,1.93161e+06,6.16823e-05,2.07467e+01,346
59000,2.13328e+01,1.92526e+06,1.36649e+06,1.92526e+06,4.89536e-05,1.68793e+01,351
60000,2.13784e+01,1.92742e+06,1.34911e+06,1.92742e+06,5.58351e-05,1.89085e+01,356
61000,2.14046e+01,1.93110e+06,1.33480e+06,1.93110e+06,5.80188e-05,1.91143e+01,361
62000,2.14602e+01,1.92570e+06,1.47940e+06,1.92570e+06,5.69442e-05,1.80812e+01,366
63000,2.14872e+01,1.92617e+06,1.48948e+06,1.92617e+06,5.53016e-05,1.73887e+01,371
64000,2.14886e+01,1.92394e+06,1.30091e+06,1.92394e+06,5.88246e-05,2.02659e+01,376
65000,2.15403e+01,1.92689e+06,1.50106e+06,1.92689e+06,5.18620e-05,1.78864e+01,382
66000,2.15383e+01,1.91756e+06,1.14945e+06,1.91756e+06,6.33703e-05,2.11576e+01,387
67000,2.15923e+01,1.93656e+06,1.51870e+06,1.93656e+06,5.09875e-05,1.87839e+01,392
68000,2.16164e+01,1.93592e+06,1.45383e+06,1.93592e+06,5.95465e-05,1.73565e+01,397
69000,2.16523e+01,1.93067e+06,1.46999e+06,1.93067e+06,4.22735e-05,1.54898e+01,402
70000,2.16492e+01,1.92241e+06,1.26512e+06,1.92241e+06,5.47432e-05,2.04093e+01,407
71000,2.16901e+01,1.92985e+06,1.37008e+06,1.92985e+06,4.82684e-05,1.54675e+01,412
72000,2.16808e+01,1.92537e+06,1.34849e+06,1.92537e+06,5.28176e-05,1.89798e+01,417
73000,2.17092e+01,1.93316e+06,1.36164e+06,1.93316e+06,6.26088e-05,2.06837e+01,422
74000,2.16893e+01,1.92394e+06,1.19430e+06,1.92394e+06,6.39643e-05,2.25674e+01,427
75000,2.17055e+01,1.92439e+06,1.40746e+06,1.92439e+06,3.79768e-05,1.57878e+01,432
76000,2.17376e+01,1.92906e+06,1.39065e+06,1.92906e+06,5.58396e-05,1.85190e+01,437
77000,2.17129e+01,1.92567e+06,1.05133e+06,1.92567e+06,4.83017e-05,1.77279e+01,442
78000,2.17365e+01,1.93064e+06,1.32586e+06,1.93064e+06,4.71013e-05,1.81895e+01,447
79000,2.17149e+01,1.92687e+06,1.31986e+06,1.92687e+06,4.02410e-05,1.52603e+01,452
80000,2.17539e+01,1.93230e+06,1.49164e+06,1.93230e+06,4.84390e-05,1.77269e+01,457
81000,2.17399e+01,1.92853e+06,1.24462e+06,1.92853e+06,5.09426e-05,1.94155e+01,462
82000,2.17550e+01,1.92697e+06,1.38066e+06,1.92697e+06,3.61177e-05,1.41463e+01,467
83000,2.17683e+01,1.91708e+06,1.11863e+06,1.91708e+06,7.02996e-05,2.39057e+01,472
84000,2.17620e+01,1.92109e+06,1.26467e+06,1.92109e+06,4.56082e-05,1.63899e+01,478
85000,2.17791e+01,1.93436e+06,1.36064e+06,1.93436e+06,5.22220e-05,1.84355e+01,483
86000,2.17953e+01,1.93249e+06,1.49077e+06,1.93249e+06,5.45614e-05,1.98428e+01,488
87000,2.17646e+01,1.92378e+06,1.23503e+06,1.92378e+06,6.03818e-05,2.21529e+01,493
88000,2.17766e+01,1.92731e+06,1.28939e+06,1.92731e+06,5.89577e-05,2.06605e+01,498
89000,2.18030e+01,1.93069e+06,1.34811e+06,1.93069e+06,5.25401e-05,1.79603e+01,503
90000,2.18049e+01,1.92582e+06,1.40120e+06,1.92582e+06,5.20263e-05,1.79983e+01,508
91000,2.17926e+01,1.93206e+06,1.38949e+06,1.93206e+06,4.45629e-05,1.51331e+01,513
92000,2.18013e+01,1.93120e+06,1.43109e+06,1.93120e+06,4.71007e-05,1.70071e+01,518
93000,2.17941e+01,1.92839e+06,1.44420e+06,1.92839e+06,4.35760e-05,1.56873e+01,523
94000,2.17960e+01,1.92863e+06,1.29964e+06,1.92863e+06,5.75973e-05,2.04815e+01,528
95000,2.17937e+01,1.92761e+06,1.25339e+06,1.92761e+06,5.91435e-05,2.13340e+01,533
96000,2.18160e+01,1.92771e+06,1.47236e+06,1.92771e+06,4.75433e-05,1.62753e+01,538
97000,2.17858e+01,1.93177e+06,1.14382e+06,1.93177e+06,6.03768e-05,2.40766e+01,544
98000,2.18133e+01,1.91587e+06,1.37082e+06,1.91587e+06,4.63230e-05,1.69534e+01,549
99000,2.18217e+01,1.92450e+06,1.45956e+06,1.92450e+06,4.02537e-05,1.58589e+01,554
