step,loss_FOC_S_g,loss_FOC_S_a,elapsed_time
0,1.00630e-02,3.59500e-03,608
1000,8.96070e-03,3.57736e-03,608
2000,9.19240e-03,3.58992e-03,608
3000,1.00615e-02,3.62455e-03,608
4000,9.38156e-03,3.58444e-03,608
5000,9.66705e-03,3.57607e-03,608
6000,9.63681e-03,3.53154e-03,608
7000,9.82026e-03,3.59838e-03,608
8000,9.33869e-03,3.54279e-03,608
9000,9.42034e-03,3.62987e-03,608
10000,8.73099e-03,3.55882e-03,608
11000,9.41478e-03,3.56662e-03,608
12000,9.33028e-03,3.55195e-03,608
13000,9.21245e-03,3.57804e-03,609
14000,8.92053e-03,3.54138e-03,609
15000,9.30185e-03,3.59147e-03,609
16000,8.20176e-03,3.53623e-03,609
17000,9.21845e-03,3.54452e-03,609
18000,8.86334e-03,3.60988e-03,609
19000,8.91532e-03,3.52578e-03,609
20000,9.10587e-03,3.51571e-03,609
21000,8.64716e-03,3.61351e-03,609
22000,8.05919e-03,3.53275e-03,609
23000,9.37809e-03,3.60061e-03,609
24000,8.88424e-03,3.58614e-03,609
25000,9.52980e-03,3.61584e-03,609
26000,9.50673e-03,3.60639e-03,609
27000,8.99306e-03,3.66037e-03,609
28000,9.85936e-03,3.57953e-03,609
29000,8.94583e-03,3.55641e-03,609
30000,9.84685e-03,3.53482e-03,609
31000,1.03032e-02,3.57879e-03,609
32000,9.39861e-03,3.54707e-03,609
33000,8.83952e-03,3.53929e-03,609
34000,9.97244e-03,3.62079e-03,609
35000,9.67084e-03,3.60594e-03,610
36000,9.20999e-03,3.61097e-03,610
37000,9.82375e-03,3.63374e-03,610
38000,8.73071e-03,3.54605e-03,610
39000,9.29744e-03,3.62433e-03,610
40000,1.01735e-02,3.61399e-03,610
41000,8.33752e-03,3.57159e-03,610
42000,9.07524e-03,3.55491e-03,610
43000,8.75525e-03,3.57264e-03,610
44000,8.79766e-03,3.54474e-03,610
45000,9.22682e-03,3.54281e-03,610
46000,8.82579e-03,3.55088e-03,610
47000,9.15628e-03,3.57254e-03,610
48000,8.84108e-03,3.49302e-03,610
49000,9.69959e-03,3.56693e-03,610
50000,8.65314e-03,3.56722e-03,610
51000,9.53520e-03,3.59137e-03,610
52000,9.17051e-03,3.55767e-03,610
53000,9.53996e-03,3.60091e-03,610
54000,8.80553e-03,3.54758e-03,610
55000,9.37990e-03,3.63279e-03,610
56000,8.84057e-03,3.48995e-03,610
57000,9.27050e-03,3.53697e-03,611
58000,9.15481e-03,3.56231e-03,611
59000,8.93097e-03,3.58741e-03,611
60000,9.06602e-03,3.53787e-03,611
61000,9.87918e-03,3.64493e-03,611
62000,1.01660e-02,3.57283e-03,611
63000,8.97540e-03,3.53210e-03,611
64000,8.84263e-03,3.62263e-03,611
65000,9.07303e-03,3.62272e-03,611
66000,1.03822e-02,3.57872e-03,611
67000,9.26089e-03,3.62472e-03,611
68000,9.56450e-03,3.58426e-03,611
69000,8.86458e-03,3.54118e-03,611
70000,8.25901e-03,3.56432e-03,611
71000,9.26295e-03,3.54338e-03,611
72000,8.99990e-03,3.51665e-03,611
73000,9.56173e-03,3.61263e-03,611
74000,9.03917e-03,3.55610e-03,611
75000,9.68871e-03,3.59072e-03,611
76000,9.17410e-03,3.54992e-03,611
77000,8.76939e-03,3.54832e-03,611
78000,9.11671e-03,3.53811e-03,611
79000,1.00931e-02,3.60199e-03,611
80000,8.92569e-03,3.60277e-03,612
81000,9.02889e-03,3.58534e-03,612
82000,9.11816e-03,3.57558e-03,612
83000,9.82246e-03,3.57279e-03,612
84000,9.48896e-03,3.59744e-03,612
85000,9.44668e-03,3.51828e-03,612
86000,9.40222e-03,3.54858e-03,612
87000,9.36553e-03,3.55695e-03,612
88000,8.63290e-03,3.50691e-03,612
89000,8.30693e-03,3.49856e-03,612
90000,8.97253e-03,3.55512e-03,612
91000,9.72680e-03,3.54851e-03,612
92000,8.46691e-03,3.58735e-03,612
93000,8.96918e-03,3.53662e-03,612
94000,9.23568e-03,3.58666e-03,612
95000,8.31189e-03,3.58201e-03,612
96000,8.68274e-03,3.53302e-03,612
97000,8.08355e-03,3.51297e-03,612
98000,8.02259e-03,3.50479e-03,612
99000,8.52408e-03,3.51868e-03,612
