step,loss_value_function,loss_FOC_g,loss_FOC_a,loss_FOC_d,loss_FOC_S_g,loss_FOC_S_a,elapsed_time
59000,6.69797e-03,1.23417e-01,1.18417e-01,1.13701e-01,6.55507e-01,9.89805e-01,365
60000,6.70337e-03,1.21210e-01,1.18309e-01,1.12058e-01,1.61256e+00,9.89897e-01,371
61000,6.67725e-03,1.15337e-01,1.19926e-01,1.08542e-01,1.07887e+00,9.89694e-01,376
62000,6.74293e-03,1.21847e-01,1.20131e-01,1.13107e-01,2.51378e+00,9.89481e-01,381
63000,6.72451e-03,1.20005e-01,1.19061e-01,1.10769e-01,8.39896e-01,9.89842e-01,386
64000,6.67232e-03,1.18955e-01,1.18874e-01,1.10281e-01,2.26106e+00,9.89829e-01,391
65000,6.77616e-03,1.20007e-01,1.20563e-01,1.10353e-01,8.85003e-01,9.89987e-01,397
66000,6.72700e-03,1.22145e-01,1.17566e-01,1.11780e-01,1.19008e+00,9.89878e-01,402
67000,6.74944e-03,1.21311e-01,1.16523e-01,1.11806e-01,7.59238e-01,9.89750e-01,407
68000,6.77190e-03,1.22953e-01,1.16737e-01,1.11917e-01,1.55712e+00,9.89752e-01,412
69000,6.77789e-03,1.15688e-01,1.22148e-01,1.08547e-01,6.51754e-01,9.89902e-01,417
70000,6.57971e-03,1.19546e-01,1.17968e-01,1.10173e-01,1.00796e+00,9.89942e-01,423
71000,6.78256e-03,1.19458e-01,1.19543e-01,1.11670e-01,5.41040e-01,9.90014e-01,428
72000,6.61158e-03,1.15102e-01,1.18247e-01,1.08503e-01,2.39778e+00,9.89893e-01,433
73000,6.70807e-03,1.19707e-01,1.19961e-01,1.11368e-01,1.46874e+00,9.89723e-01,438
74000,6.63307e-03,1.20209e-01,1.14320e-01,1.11631e-01,3.96981e-01,9.89869e-01,443
75000,6.70190e-03,1.21178e-01,1.19050e-01,1.09693e-01,8.26875e-01,9.89956e-01,449
76000,6.75141e-03,1.18250e-01,1.22484e-01,1.10146e-01,3.27254e-01,9.89920e-01,454
77000,6.49669e-03,1.20555e-01,1.16517e-01,1.13337e-01,3.77185e-01,9.89950e-01,459
78000,6.73375e-03,1.21775e-01,1.18875e-01,1.12312e-01,5.41287e-01,9.89886e-01,464
79000,6.55565e-03,1.14834e-01,1.20440e-01,1.07475e-01,5.71995e-01,9.89923e-01,469
80000,6.74147e-03,1.17779e-01,1.21134e-01,1.08512e-01,7.06032e-01,9.89874e-01,474
81000,6.56811e-03,1.19688e-01,1.15584e-01,1.10832e-01,4.33372e-01,9.89954e-01,480
82000,6.74897e-03,1.18881e-01,1.19218e-01,1.08934e-01,5.86688e-01,9.89969e-01,485
83000,6.64248e-03,1.23866e-01,1.15099e-01,1.13746e-01,4.00708e-01,9.89898e-01,490
84000,6.62572e-03,1.20069e-01,1.16809e-01,1.09928e-01,2.62420e-01,9.89905e-01,495
85000,6.66989e-03,1.20472e-01,1.17714e-01,1.11607e-01,4.16443e-01,9.89941e-01,500
86000,6.76167e-03,1.18549e-01,1.18629e-01,1.09681e-01,2.24882e-01,9.89921e-01,506
87000,6.47989e-03,1.13942e-01,1.15876e-01,1.08082e-01,5.42379e-01,9.89940e-01,511
88000,6.63622e-03,1.20659e-01,1.16398e-01,1.11558e-01,5.37010e-01,9.89957e-01,516
89000,6.74338e-03,1.19466e-01,1.21511e-01,1.09372e-01,1.69132e-01,9.89900e-01,521
90000,6.77676e-03,1.20815e-01,1.18295e-01,1.13214e-01,7.92784e-01,9.89891e-01,526
91000,6.70055e-03,1.19994e-01,1.17971e-01,1.10258e-01,8.55274e-01,9.89949e-01,531
92000,6.63228e-03,1.18370e-01,1.17400e-01,1.08655e-01,1.13041e-01,9.89903e-01,537
93000,6.65321e-03,1.19629e-01,1.17816e-01,1.08259e-01,3.26880e-01,9.89919e-01,542
94000,6.65276e-03,1.17093e-01,1.20340e-01,1.08535e-01,4.40448e-01,9.89912e-01,547
95000,6.70071e-03,1.18319e-01,1.18092e-01,1.10933e-01,6.34102e-01,9.89998e-01,552
96000,6.76296e-03,1.19779e-01,1.20505e-01,1.10357e-01,3.53992e-01,9.89946e-01,557
97000,6.60839e-03,1.21752e-01,1.13592e-01,1.11707e-01,3.14468e-01,9.89822e-01,562
98000,6.73568e-03,1.21024e-01,1.19750e-01,1.10639e-01,2.00803e-01,9.89925e-01,568
99000,6.71891e-03,1.19961e-01,1.18701e-01,1.12872e-01,4.75497e-01,9.89932e-01,573
100000,6.87340e-03,1.19333e-01,1.23312e-01,1.10268e-01,8.43179e-01,9.89775e-01,578
101000,6.62600e-03,1.20375e-01,1.18039e-01,1.11026e-01,4.15437e-01,9.89934e-01,583
102000,6.63936e-03,1.19696e-01,1.13681e-01,1.10450e-01,8.90461e-01,9.89965e-01,588
103000,6.63917e-03,1.20336e-01,1.18924e-01,1.11200e-01,2.25275e-01,9.89727e-01,593
104000,6.61751e-03,1.18879e-01,1.17346e-01,1.11279e-01,9.82068e-02,9.89925e-01,599
105000,6.69918e-03,1.18572e-01,1.22215e-01,1.10030e-01,6.57889e-01,9.89972e-01,604
106000,6.80371e-03,1.24707e-01,1.18220e-01,1.13220e-01,4.40715e-01,9.89936e-01,609
107000,6.77957e-03,1.22217e-01,1.16076e-01,1.11124e-01,4.10937e-01,9.89922e-01,614
108000,6.74436e-03,1.18952e-01,1.19536e-01,1.10223e-01,4.04710e-01,9.89969e-01,619
109000,6.63194e-03,1.19080e-01,1.19505e-01,1.10519e-01,5.49859e-01,9.89949e-01,625
110000,6.63622e-03,1.20771e-01,1.15511e-01,1.10194e-01,3.43713e-01,9.89915e-01,630
111000,6.67896e-03,1.23610e-01,1.16619e-01,1.12994e-01,3.13508e-01,9.89941e-01,635
112000,6.71228e-03,1.21490e-01,1.21866e-01,1.10599e-01,4.09341e-01,9.89962e-01,640
113000,6.62246e-03,1.18162e-01,1.18979e-01,1.09051e-01,4.77034e-01,9.89995e-01,645
114000,6.73185e-03,1.20538e-01,1.18223e-01,1.10543e-01,8.51954e-01,9.89930e-01,650
115000,6.72513e-03,1.18409e-01,1.22030e-01,1.09571e-01,7.55264e-01,9.89886e-01,656
116000,6.67070e-03,1.16341e-01,1.20676e-01,1.07816e-01,3.90398e-01,9.89956e-01,661
117000,6.72145e-03,1.22734e-01,1.21491e-01,1.10906e-01,5.10534e-01,9.89954e-01,666
118000,6.60765e-03,1.15004e-01,1.19700e-01,1.07797e-01,4.02312e-01,9.89948e-01,671
119000,6.79004e-03,1.19343e-01,1.22919e-01,1.08726e-01,3.80903e-01,9.89946e-01,676
120000,6.73979e-03,1.21382e-01,1.20710e-01,1.10135e-01,1.13802e+00,9.89919e-01,682
121000,6.55551e-03,1.17506e-01,1.19496e-01,1.08489e-01,1.27526e+00,9.89776e-01,687
122000,6.69184e-03,1.20128e-01,1.21992e-01,1.10368e-01,2.71271e-01,9.89927e-01,692
123000,6.73369e-03,1.19684e-01,1.18955e-01,1.09532e-01,2.75788e-01,9.89929e-01,697
124000,6.71677e-03,1.16856e-01,1.19433e-01,1.09494e-01,5.93774e-01,9.89933e-01,702
125000,6.61498e-03,1.19489e-01,1.17969e-01,1.09575e-01,3.46961e-01,9.89906e-01,707
126000,6.66130e-03,1.17740e-01,1.19790e-01,1.09398e-01,4.00408e-01,9.89928e-01,713
127000,6.50076e-03,1.15261e-01,1.20877e-01,1.08246e-01,3.41633e-01,9.89948e-01,718
128000,6.69507e-03,1.19656e-01,1.18771e-01,1.09503e-01,4.71463e-01,9.89901e-01,723
129000,6.70058e-03,1.20430e-01,1.18112e-01,1.10132e-01,4.58433e-01,9.90001e-01,728
130000,6.76091e-03,1.25266e-01,1.14989e-01,1.14008e-01,3.98708e-01,9.89966e-01,733
131000,6.80571e-03,1.20592e-01,1.21080e-01,1.10388e-01,7.32187e-01,9.89851e-01,738
132000,6.71496e-03,1.16105e-01,1.20262e-01,1.07906e-01,3.01148e-01,9.89948e-01,744
133000,6.74206e-03,1.19182e-01,1.20515e-01,1.09414e-01,4.33025e-01,9.89953e-01,749
134000,6.67123e-03,1.23079e-01,1.16382e-01,1.13245e-01,2.27124e-01,9.89896e-01,754
135000,6.64716e-03,1.19086e-01,1.16803e-01,1.11458e-01,1.01347e-01,9.89930e-01,759
136000,6.66077e-03,1.16811e-01,1.20388e-01,1.10086e-01,5.79467e-02,9.89927e-01,764
137000,6.62186e-03,1.16067e-01,1.18612e-01,1.11267e-01,2.04583e-01,9.89919e-01,770
138000,6.68006e-03,1.19720e-01,1.18908e-01,1.10508e-01,1.44538e+00,9.89869e-01,775
139000,6.66660e-03,1.22105e-01,1.18562e-01,1.12940e-01,3.74476e-01,9.89907e-01,780
140000,6.64678e-03,1.17916e-01,1.18392e-01,1.09888e-01,3.63424e-01,9.89964e-01,785
141000,6.70229e-03,1.21484e-01,1.15024e-01,1.11896e-01,3.60528e-01,9.89917e-01,790
142000,6.73142e-03,1.21700e-01,1.19230e-01,1.11705e-01,3.97902e-01,9.89964e-01,795
143000,6.65108e-03,1.18924e-01,1.18481e-01,1.10051e-01,1.14433e+00,9.90014e-01,801
144000,6.78728e-03,1.22646e-01,1.20802e-01,1.10227e-01,3.60499e-01,9.89917e-01,806
145000,6.70501e-03,1.17104e-01,1.20860e-01,1.08138e-01,3.81173e-01,9.89962e-01,811
146000,6.68820e-03,1.18326e-01,1.20568e-01,1.09899e-01,8.98406e-01,9.89801e-01,816
147000,6.69174e-03,1.19695e-01,1.19676e-01,1.11176e-01,6.49160e-01,9.89953e-01,821
148000,6.86305e-03,1.25539e-01,1.18264e-01,1.13192e-01,3.54324e-01,9.89904e-01,826
149000,6.75962e-03,1.21007e-01,1.17793e-01,1.10733e-01,3.01351e-01,9.89974e-01,832
150000,6.67707e-03,1.18848e-01,1.19325e-01,1.10177e-01,8.05199e-01,9.89944e-01,837
151000,6.67708e-03,1.20619e-01,1.15695e-01,1.12339e-01,3.72178e-01,9.89969e-01,842
152000,6.77539e-03,1.17717e-01,1.21949e-01,1.08231e-01,6.15276e-02,9.89952e-01,847
153000,6.70464e-03,1.16344e-01,1.23318e-01,1.09210e-01,2.43659e-01,9.89940e-01,852
154000,6.79847e-03,1.16786e-01,1.20802e-01,1.06714e-01,5.49274e-01,9.89943e-01,858
155000,6.59083e-03,1.17112e-01,1.18145e-01,1.11255e-01,3.15644e-01,9.89984e-01,863
156000,6.82683e-03,1.23036e-01,1.19757e-01,1.11356e-01,3.37253e-01,9.89970e-01,868
157000,6.76067e-03,1.21933e-01,1.22090e-01,1.10963e-01,1.73146e-01,9.89982e-01,873
158000,6.59925e-03,1.19539e-01,1.18550e-01,1.10525e-01,7.93814e-02,9.89956e-01,878
159000,6.65603e-03,1.20047e-01,1.16269e-01,1.13032e-01,5.21803e-01,9.89951e-01,883
160000,6.72006e-03,1.21302e-01,1.20863e-01,1.10048e-01,1.47556e-01,9.89953e-01,889
161000,6.61521e-03,1.20808e-01,1.10505e-01,1.13232e-01,3.25526e-01,9.89996e-01,894
162000,6.89299e-03,1.20851e-01,1.22109e-01,1.09352e-01,1.81612e-01,9.89963e-01,899
163000,6.80537e-03,1.18681e-01,1.24615e-01,1.08316e-01,2.51404e-01,9.89912e-01,904
164000,6.52780e-03,1.20238e-01,1.17311e-01,1.11001e-01,3.15573e-01,9.89956e-01,909
165000,6.63506e-03,1.22060e-01,1.17089e-01,1.11681e-01,1.62359e-01,9.89952e-01,915
166000,6.81230e-03,1.22135e-01,1.20393e-01,1.11228e-01,2.78191e-01,9.89830e-01,920
167000,6.65515e-03,1.15606e-01,1.20706e-01,1.08938e-01,2.15443e-01,9.89983e-01,925
168000,6.67402e-03,1.23404e-01,1.15800e-01,1.12895e-01,2.27523e-01,9.89967e-01,930
169000,6.73694e-03,1.21150e-01,1.17571e-01,1.10595e-01,1.94910e-01,9.89949e-01,935
170000,6.57086e-03,1.18746e-01,1.19052e-01,1.10109e-01,1.88776e-01,9.89962e-01,940
171000,6.79781e-03,1.20786e-01,1.21575e-01,1.10224e-01,2.45840e-01,9.89981e-01,946
172000,6.83958e-03,1.19905e-01,1.21818e-01,1.09237e-01,9.75065e-02,9.89953e-01,951
173000,6.68757e-03,1.19068e-01,1.19969e-01,1.10275e-01,1.68709e-01,9.89929e-01,956
174000,6.69585e-03,1.14743e-01,1.23130e-01,1.07214e-01,6.04290e-02,9.89908e-01,961
175000,6.80686e-03,1.18810e-01,1.22133e-01,1.12507e-01,5.20500e-01,9.89941e-01,966
176000,6.69427e-03,1.20161e-01,1.19279e-01,1.09195e-01,1.86154e-01,9.89921e-01,971
177000,6.78352e-03,1.19318e-01,1.21439e-01,1.10970e-01,2.96088e-01,9.90005e-01,977
178000,6.70799e-03,1.20364e-01,1.20446e-01,1.11784e-01,1.72873e-01,9.89962e-01,982
179000,6.66171e-03,1.20254e-01,1.17852e-01,1.12415e-01,4.00589e-02,9.89976e-01,987
180000,6.62391e-03,1.20095e-01,1.19203e-01,1.11276e-01,3.02337e-01,9.89984e-01,992
181000,6.67629e-03,1.17071e-01,1.19740e-01,1.08323e-01,1.35222e-01,9.89951e-01,997
182000,6.74534e-03,1.23356e-01,1.19800e-01,1.11210e-01,4.50875e-01,9.89945e-01,1003
183000,6.71978e-03,1.20204e-01,1.23813e-01,1.10675e-01,2.63318e-01,9.89964e-01,1008
184000,6.59161e-03,1.18835e-01,1.20553e-01,1.08408e-01,2.74337e-01,9.89947e-01,1013
185000,6.79064e-03,1.22782e-01,1.21070e-01,1.10926e-01,2.14364e-01,9.89981e-01,1018
186000,6.79842e-03,1.19713e-01,1.20443e-01,1.09522e-01,1.36189e-01,9.89946e-01,1023
187000,6.69876e-03,1.16389e-01,1.24337e-01,1.07622e-01,2.54866e-01,9.90005e-01,1029
188000,6.68845e-03,1.20950e-01,1.20864e-01,1.13021e-01,7.00478e-02,9.89973e-01,1034
189000,6.70332e-03,1.19662e-01,1.21101e-01,1.07852e-01,3.39779e-01,9.89914e-01,1039
190000,6.70758e-03,1.23024e-01,1.16547e-01,1.12510e-01,3.15103e-01,9.89950e-01,1044
191000,6.76335e-03,1.21895e-01,1.21252e-01,1.10830e-01,4.97188e-01,9.89964e-01,1049
192000,6.62510e-03,1.22071e-01,1.16141e-01,1.10735e-01,3.42232e-01,9.89881e-01,1055
193000,6.78150e-03,1.20179e-01,1.19446e-01,1.08905e-01,4.64151e-01,9.89987e-01,1060
194000,6.71930e-03,1.20221e-01,1.18767e-01,1.11735e-01,1.63758e-01,9.89944e-01,1065
195000,6.70777e-03,1.16834e-01,1.22454e-01,1.06673e-01,1.68851e-01,9.89978e-01,1070
196000,6.74009e-03,1.18033e-01,1.20780e-01,1.08764e-01,9.95884e-02,9.89906e-01,1076
197000,6.74684e-03,1.20715e-01,1.18233e-01,1.11419e-01,1.26081e-01,9.89951e-01,1081
198000,6.79805e-03,1.17532e-01,1.22746e-01,1.09281e-01,1.41086e-01,9.89982e-01,1086
199000,6.74375e-03,1.21781e-01,1.20999e-01,1.12546e-01,2.06639e-01,9.89982e-01,1091
200000,6.68024e-03,1.17331e-01,1.22847e-01,1.08291e-01,2.15722e-01,9.89967e-01,1096
201000,6.67552e-03,1.19399e-01,1.19151e-01,1.10461e-01,2.32095e-01,9.89894e-01,1102
202000,6.68755e-03,1.18316e-01,1.19717e-01,1.08246e-01,1.41696e-01,9.89931e-01,1107
203000,6.83460e-03,1.20381e-01,1.21246e-01,1.11027e-01,1.96313e-01,9.89966e-01,1112
204000,6.71870e-03,1.20180e-01,1.18335e-01,1.11727e-01,2.14540e-01,9.89929e-01,1117
205000,6.83217e-03,1.22068e-01,1.19069e-01,1.11941e-01,4.07297e-01,9.89931e-01,1122
206000,6.72565e-03,1.14957e-01,1.21133e-01,1.08799e-01,2.46003e-01,9.89990e-01,1127
207000,6.68465e-03,1.17375e-01,1.19903e-01,1.10459e-01,2.83247e-01,9.89991e-01,1133
208000,6.74133e-03,1.19402e-01,1.18472e-01,1.10090e-01,2.26526e-01,9.89958e-01,1138
209000,6.66028e-03,1.15686e-01,1.21069e-01,1.06766e-01,4.74814e-01,9.90010e-01,1143
210000,6.64144e-03,1.18690e-01,1.18088e-01,1.11280e-01,1.01624e+00,9.90099e-01,1148
211000,6.68756e-03,1.19777e-01,1.18384e-01,1.09580e-01,2.10644e-01,9.89914e-01,1153
212000,6.63112e-03,1.18813e-01,1.19975e-01,1.09500e-01,2.98994e-01,9.89893e-01,1159
213000,6.46521e-03,1.17542e-01,1.16539e-01,1.10018e-01,2.05579e-01,9.89924e-01,1164
214000,6.69455e-03,1.18620e-01,1.20553e-01,1.10527e-01,1.73105e-01,9.89834e-01,1169
215000,6.77042e-03,1.19073e-01,1.20084e-01,1.10604e-01,4.69301e-01,9.89992e-01,1174
216000,6.77684e-03,1.20062e-01,1.20381e-01,1.10462e-01,1.20777e-01,9.89990e-01,1179
