step,loss_value_function,loss_FOC_g,loss_FOC_a,loss_FOC_d,loss_FOC_S_g,loss_FOC_S_a,elapsed_time
0,9.66289e-01,1.92756e+06,1.93634e+06,1.92756e+06,1.18645e-01,4.41072e-01,30
1000,1.14144e-02,6.01832e+00,7.65596e+00,1.73133e+01,1.56714e+00,9.86271e-01,42
2000,1.32629e-02,5.22192e+00,7.37622e+00,3.08203e+01,3.92809e-01,9.86484e-01,47
3000,1.32233e-02,4.72493e+00,7.74133e+00,2.31795e+01,1.78880e-01,9.86529e-01,51
4000,1.17150e-02,5.11958e+00,8.00458e+00,3.15001e+01,1.52563e-01,9.86498e-01,55
5000,1.33461e-02,5.28136e+00,8.33930e+00,1.93429e+01,1.28803e-01,9.86510e-01,60
6000,1.07335e-02,5.00981e+00,8.20673e+00,9.18533e+00,1.00438e-01,9.86357e-01,64
7000,6.49386e-03,4.86993e+00,6.63883e+00,1.04000e+01,1.05387e-01,9.86429e-01,68
8000,5.28569e-03,4.99513e+00,8.37770e+00,7.34386e+00,9.48714e-02,9.86397e-01,72
9000,5.73822e-03,4.87319e+00,6.95818e+00,1.07067e+01,6.77685e-02,9.86401e-01,77
10000,5.87218e-03,4.91717e+00,6.39965e+00,2.44670e+01,5.33592e-02,9.86395e-01,81
11000,6.63669e-03,5.31828e+00,8.05592e+00,3.03875e+01,4.34893e-02,9.86401e-01,85
12000,6.25412e-03,5.23807e+00,7.83442e+00,4.85770e+01,3.27692e-02,9.86411e-01,89
13000,6.45381e-03,5.49330e+00,7.69522e+00,3.98562e+01,2.69616e-02,9.86405e-01,94
14000,7.35195e-03,5.49419e+00,7.61245e+00,2.67198e+01,2.12790e-02,9.86431e-01,98
15000,6.68834e-03,5.15707e+00,7.38596e+00,2.39640e+01,1.78475e-02,9.86395e-01,102
16000,6.64739e-03,5.30364e+00,7.87421e+00,2.14360e+01,1.74381e-02,9.86427e-01,107
17000,7.75304e-03,5.13903e+00,7.26446e+00,1.92066e+01,1.29930e-02,9.86399e-01,111
18000,7.70198e-03,5.07314e+00,7.65996e+00,1.95853e+01,1.30987e-02,9.86382e-01,115
19000,7.50865e-03,5.16087e+00,7.26447e+00,1.65757e+01,1.27032e-02,9.86465e-01,119
20000,6.83274e-03,5.29405e+00,7.53263e+00,1.99480e+01,9.21759e-03,9.86416e-01,123
21000,8.10155e-03,5.03180e+00,6.83280e+00,1.45111e+01,9.57804e-03,9.86411e-01,128
22000,8.39280e-03,4.78189e+00,7.29505e+00,1.32707e+01,8.08633e-03,9.86407e-01,132
23000,7.58373e-03,5.08099e+00,7.71511e+00,2.17935e+01,7.81695e-03,9.86391e-01,136
24000,7.71189e-03,5.17573e+00,7.82176e+00,2.06988e+01,5.78655e-03,9.86370e-01,140
25000,7.17295e-03,5.03601e+00,8.40960e+00,1.79634e+01,5.01791e-03,9.86372e-01,145
26000,7.07926e-03,5.40310e+00,6.91321e+00,1.84530e+01,3.70837e-03,9.86435e-01,149
27000,7.28421e-03,5.39373e+00,7.35318e+00,1.81161e+01,3.74974e-03,9.86428e-01,153
28000,7.78579e-03,5.24092e+00,7.59604e+00,2.07005e+01,2.57781e-03,9.86384e-01,157
29000,7.51095e-03,4.96752e+00,7.16932e+00,1.79645e+01,2.30626e-03,9.86415e-01,162
30000,7.23992e-03,5.18022e+00,7.38550e+00,2.00081e+01,2.09427e-03,9.86412e-01,166
31000,7.17417e-03,5.24101e+00,7.50429e+00,1.88335e+01,2.87922e-03,9.86409e-01,170
32000,6.61893e-03,5.16066e+00,8.47182e+00,1.98987e+01,1.81891e-03,9.86415e-01,174
