step,loss_FOC_S_g,loss_FOC_S_a,elapsed_time
0,1.64436e-02,2.29606e-03,916
1000,1.59980e-02,2.21929e-03,916
2000,1.56817e-02,2.15657e-03,916
3000,1.65283e-02,2.36248e-03,916
4000,1.65727e-02,2.41226e-03,916
5000,1.69160e-02,2.45398e-03,916
6000,1.58228e-02,2.13482e-03,916
7000,1.64306e-02,2.35668e-03,916
8000,1.61021e-02,2.29869e-03,916
9000,1.62198e-02,2.28402e-03,916
10000,1.62894e-02,2.29256e-03,916
11000,1.60422e-02,2.19523e-03,916
12000,1.54899e-02,2.12427e-03,916
13000,1.58079e-02,2.19655e-03,916
14000,1.63729e-02,2.29467e-03,916
15000,1.57414e-02,2.21868e-03,916
16000,1.58696e-02,2.20840e-03,917
17000,1.57843e-02,2.23040e-03,917
18000,1.58819e-02,2.18309e-03,917
19000,1.64756e-02,2.36497e-03,917
20000,1.61057e-02,2.27623e-03,917
21000,1.59669e-02,2.28067e-03,917
22000,1.61327e-02,2.26035e-03,917
23000,1.62229e-02,2.26146e-03,917
24000,1.60344e-02,2.24646e-03,917
25000,1.60928e-02,2.27395e-03,917
26000,1.59628e-02,2.19359e-03,917
27000,1.64676e-02,2.31075e-03,917
28000,1.65939e-02,2.37967e-03,917
29000,1.61883e-02,2.29670e-03,917
30000,1.60519e-02,2.21074e-03,917
31000,1.59566e-02,2.20048e-03,917
32000,1.59290e-02,2.19589e-03,917
33000,1.61707e-02,2.23983e-03,917
34000,1.60682e-02,2.21212e-03,917
35000,1.61026e-02,2.28265e-03,917
36000,1.58114e-02,2.17930e-03,917
37000,1.53306e-02,2.04821e-03,917
38000,1.56715e-02,2.08391e-03,917
39000,1.56930e-02,2.15558e-03,917
40000,1.63385e-02,2.33222e-03,917
41000,1.58310e-02,2.20670e-03,917
42000,1.63512e-02,2.35200e-03,917
43000,1.59781e-02,2.25239e-03,917
44000,1.61308e-02,2.27104e-03,917
45000,1.62294e-02,2.30097e-03,917
46000,1.61450e-02,2.24046e-03,917
47000,1.55855e-02,2.10847e-03,917
48000,1.64246e-02,2.34842e-03,918
49000,1.59727e-02,2.25855e-03,918
50000,1.60302e-02,2.32367e-03,918
51000,1.58270e-02,2.16046e-03,918
52000,1.50726e-02,1.93683e-03,918
53000,1.59623e-02,2.23046e-03,918
54000,1.59854e-02,2.24172e-03,918
55000,1.55732e-02,2.12325e-03,918
56000,1.62507e-02,2.31530e-03,918
57000,1.62566e-02,2.29980e-03,918
58000,1.63784e-02,2.30500e-03,918
59000,1.56099e-02,2.12477e-03,918
60000,1.61837e-02,2.29535e-03,918
61000,1.58190e-02,2.19656e-03,918
62000,1.62845e-02,2.29868e-03,918
63000,1.57621e-02,2.13805e-03,918
64000,1.59002e-02,2.22866e-03,918
65000,1.61881e-02,2.31087e-03,918
66000,1.59214e-02,2.17897e-03,918
67000,1.58952e-02,2.19628e-03,918
68000,1.61970e-02,2.26848e-03,918
69000,1.59995e-02,2.18973e-03,918
70000,1.67995e-02,2.40848e-03,918
71000,1.61343e-02,2.28802e-03,918
72000,1.58179e-02,2.20714e-03,918
73000,1.54771e-02,2.06274e-03,918
74000,1.64986e-02,2.37717e-03,918
75000,1.60312e-02,2.26409e-03,918
76000,1.60682e-02,2.26879e-03,918
77000,1.60660e-02,2.26757e-03,918
78000,1.62282e-02,2.30511e-03,918
79000,1.60592e-02,2.22255e-03,918
80000,1.55894e-02,2.19634e-03,918
81000,1.64378e-02,2.33681e-03,919
82000,1.61723e-02,2.30084e-03,919
83000,1.61709e-02,2.39893e-03,919
84000,1.59771e-02,2.17081e-03,919
85000,1.53248e-02,2.07626e-03,919
86000,1.62199e-02,2.34304e-03,919
87000,1.62189e-02,2.26943e-03,919
88000,1.54824e-02,2.08796e-03,919
89000,1.55775e-02,2.10475e-03,919
90000,1.56072e-02,2.09490e-03,919
91000,1.66158e-02,2.39335e-03,919
92000,1.63697e-02,2.31703e-03,919
93000,1.61689e-02,2.27637e-03,919
94000,1.61748e-02,2.22927e-03,919
95000,1.55415e-02,2.15418e-03,919
96000,1.62441e-02,2.29560e-03,919
97000,1.64438e-02,2.38174e-03,919
98000,1.59547e-02,2.20520e-03,919
99000,1.63749e-02,2.33439e-03,919
100000,1.58913e-02,2.19169e-03,919
101000,1.61632e-02,2.19999e-03,919
102000,1.57850e-02,2.22524e-03,919
103000,1.60148e-02,2.21627e-03,919
104000,1.60943e-02,2.27197e-03,919
105000,1.62807e-02,2.30728e-03,919
106000,1.55803e-02,2.12524e-03,919
107000,1.59936e-02,2.24937e-03,919
108000,1.63474e-02,2.30452e-03,919
109000,1.57013e-02,2.11449e-03,919
110000,1.58770e-02,2.17120e-03,919
111000,1.66132e-02,2.42775e-03,919
112000,1.55499e-02,2.11119e-03,919
113000,1.56944e-02,2.11836e-03,919
114000,1.64950e-02,2.38039e-03,920
115000,1.61748e-02,2.27905e-03,920
116000,1.62292e-02,2.34102e-03,920
117000,1.59999e-02,2.24668e-03,920
118000,1.58423e-02,2.20049e-03,920
119000,1.59800e-02,2.20237e-03,920
120000,1.61935e-02,2.29201e-03,920
121000,1.64433e-02,2.33711e-03,920
122000,1.65718e-02,2.35131e-03,920
123000,1.52270e-02,1.99899e-03,920
124000,1.59492e-02,2.19241e-03,920
125000,1.64166e-02,2.36194e-03,920
126000,1.58520e-02,2.15721e-03,920
127000,1.63169e-02,2.31193e-03,920
128000,1.56665e-02,2.15727e-03,920
129000,1.60477e-02,2.20516e-03,920
130000,1.61989e-02,2.25762e-03,920
131000,1.59435e-02,2.28487e-03,920
